Ukprn,Name,ApplicationType,StartDate,Status,ApplicationDeterminedDate
10095596,CENTRE FOR REPRODUCTIVE MEDICINE LIMITED T/A Care Fertility Group Limited,Supporting provider,27/08/2024,,27/08/2024
10091537,PROFESSIONAL SKILLS ACADEMY T/A Professional Skills Academy,Main provider,23/08/2024,,29/07/2024
10067657,EDEN LEARNING TRUST T/A EDEN LEARNING TRUST (Academy Trust),Main provider,23/08/2024,,26/06/2024
10062567,CPL TALENT SOLUTIONS LIMITED T/A Clinical Professionals Academies,Supporting provider,05/10/2020,,27/09/2022
10001967,DIDAC LIMITED,Main provider,16/08/2024,,28/07/2022
10000163,HEALTH SCIENCES UNIVERSITY T/A AECC University College,Main provider,21/04/2023,,29/03/2023
10092175,AM 2 PM GROUP HOLDINGS LIMITED,Main provider,02/08/2024,,26/06/2024
10004175,MANCHESTER CITY COUNCIL,Main provider,02/08/2024,,30/05/2024
10028094,SKILLS NORTH EAST LIMITED T/A Skills North East,Main provider,19/07/2024,,26/06/2024
10085721,YORKSHIRE WORK BASED TRAINING LTD,Main provider,19/07/2024,,30/05/2024
10035498,COLCHESTER COUNTY HIGH SCHOOL FOR GIRLS,Main provider,19/07/2024,,30/04/2024
10094698,MIGHTY OAK TRAINING LTD,Main provider,19/07/2024,,30/05/2024
10009213,EDUCATION FOR INDUSTRY GROUP,Main provider,13/03/2017,,22/12/2021
10060817,THE SHAW EDUCATION TRUST T/A THE SHAW EDUCATION TRUST (Academy Trust),Employer provider,05/07/2024,,30/05/2024
10058582,WEYDON MULTI ACADEMY TRUST T/A Weydon Multi Academy Trust (Academy Trust),Main provider,05/07/2024,,30/05/2024
10082280,THE TAILORING ACADEMY LTD,Supporting provider,26/06/2024,,26/06/2024
10045987,HOLY FAMILY CATHOLIC PRIMARY SCHOOL - PART OF THE LEARNING FEDERATION PARTNERSHIP OF SCHOOLS T/A Primary Catholic Partnership SCITT,Main provider,16/04/2018,,29/06/2022
10058343,THE KEMNAL ACADEMIES TRUST1,Main provider,10/05/2024,,29/02/2024
10094822,L3HARRIS COMMERCIAL TRAINING SOLUTIONS LIMITED,Main provider,14/06/2024,,30/04/2024
10040400,DENTAL TRAINING LIMITED,Main provider,14/06/2024,,30/04/2024
10091766,ESTU GLOBAL LTD,Main provider,14/06/2024,,30/04/2024
10042644,AJ'S TRAINING LTD T/A AJ's Training,Main provider,17/11/2022,,27/09/2022
